"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"ENSMUSG00000025746",5459.66683000834,6.17424430266398,0.153789069006769,40.1474847499871,0,0,"Signifikan","Naik"
"ENSMUSG00000025823",123043.472585617,4.83142257340517,0.0967905836485069,49.9162458917531,0,0,"Signifikan","Naik"
"ENSMUSG00000030659",21241.9953767504,3.38880157871045,0.0704912247504895,48.0740913596755,0,0,"Signifikan","Naik"
"ENSMUSG00000020256",10705.025500221,6.78782538013842,0.114128242067736,59.4754221843687,0,0,"Signifikan","Naik"
"ENSMUSG00000020048",451287.8731296,3.94246012535344,0.0922719321001747,42.7265370478351,0,0,"Signifikan","Naik"
"ENSMUSG00000022769",12532.8206814825,4.57467238897105,0.106187641163931,43.081024673189,0,0,"Signifikan","Naik"
"ENSMUSG00000032115",55505.0574527971,3.71678546289324,0.0997505147590514,37.2608148626719,7.07985615382951e-304,1.70300882740259e-300,"Signifikan","Naik"
"ENSMUSG00000023272",52087.6035014495,5.55554408091146,0.149199645278397,37.2356386675397,1.80961127134285e-303,3.80877932335887e-300,"Signifikan","Naik"
"ENSMUSG00000022136",32196.1015153094,3.3682648831839,0.0917681269188788,36.7040823025774,6.28617857666556e-295,1.1760741652655e-291,"Signifikan","Naik"
"ENSMUSG00000003814",142231.189162897,2.94380548819734,0.0814419041131248,36.1460788552822,4.28750312627143e-286,7.21929776401583e-283,"Signifikan","Naik"
"ENSMUSG00000003355",1840.7735592999,4.66815846802108,0.13272878555731,35.1706560744914,5.61940393348443e-271,8.60177485745553e-268,"Signifikan","Naik"
"ENSMUSG00000026864",360024.727364726,4.2436622930696,0.126110340749598,33.6503911403722,3.07711940507401e-248,4.31771137855302e-245,"Signifikan","Naik"
"ENSMUSG00000032575",26491.3594131721,3.53714286049467,0.109614678229224,32.2688796576849,1.9121940884097e-228,2.47673262004943e-225,"Signifikan","Naik"
"ENSMUSG00000025130",107085.424047035,2.47880233216246,0.0784468950665708,31.5984760143652,3.87440794415728e-219,4.65980578312287e-216,"Signifikan","Naik"
"ENSMUSG00000020571",59888.9965528353,2.75416523736945,0.0907904209631304,30.3354165357147,3.9127858052422e-202,4.39223249257788e-199,"Signifikan","Naik"
"ENSMUSG00000030711",1056.48688654835,-3.77466088391,0.126499322169869,-29.8393763631493,1.20582269120627e-195,1.2689776546582e-192,"Signifikan","Turun"
"ENSMUSG00000021751",1549.74837816336,7.2463881326454,0.249661035501727,29.0249061816267,3.19160399802452e-185,3.16118988933746e-182,"Signifikan","Naik"
"ENSMUSG00000025408",15481.0543969912,4.94427093856039,0.171480320813989,28.8328766536636,8.30765207842611e-183,7.77134698314105e-180,"Signifikan","Naik"
"ENSMUSG00000030717",4869.0069707715,3.83693794000665,0.137909204081414,27.8222034965957,2.3374220779158e-170,2.07144804989191e-167,"Signifikan","Naik"
"ENSMUSG00000015652",2758.01413257824,4.54753991546566,0.165180691436442,27.5306991145237,7.535352055827e-167,6.34401289580075e-164,"Signifikan","Naik"
"ENSMUSG00000106847",12236.1390301189,-2.01559257256687,0.073563024910932,-27.3995335973105,2.77784293258125e-165,2.22730091899063e-162,"Signifikan","Turun"
"ENSMUSG00000025353",6221.41380411876,2.94096923068327,0.108918513922299,27.0015548759811,1.41705291247398e-160,1.08456077001077e-157,"Signifikan","Naik"
"ENSMUSG00000025432",954.566490795586,6.22758383223694,0.234082052850558,26.604277245521,6.05702876621531e-156,4.43427175502319e-153,"Signifikan","Naik"
"ENSMUSG00000020964",54281.0783214156,3.51578875095158,0.132293115270968,26.5757499454935,1.29465651941495e-155,9.08309436412875e-153,"Signifikan","Naik"
"ENSMUSG00000014905",11565.7438867586,4.0928159582448,0.154969377384979,26.4104820404442,1.0384794037223e-153,6.99436647995046e-151,"Signifikan","Naik"
"ENSMUSG00000004460",15942.2417012547,1.95448063206686,0.0748572251959044,26.1094453735349,2.84807983747343e-150,1.84446031936068e-147,"Signifikan","Naik"
"ENSMUSG00000058427",7992.25120615747,4.43158494805252,0.175438069450688,25.2601100885811,8.77001323802269e-141,5.46924010747504e-138,"Signifikan","Naik"
"ENSMUSG00000022844",1985.0507277266,3.01061760880082,0.119354701977254,25.2241223757953,2.17837789033842e-140,1.30998310419708e-137,"Signifikan","Naik"
"ENSMUSG00000032715",4921.62115668239,3.31881997135649,0.132879113651761,24.9762350165443,1.10814466201602e-137,6.43411717897442e-135,"Signifikan","Naik"
"ENSMUSG00000026317",4022.51132906806,2.8126439252653,0.113127665414194,24.8625649169667,1.8912531796886e-136,1.06149736798655e-133,"Signifikan","Naik"
"ENSMUSG00000035459",12096.1308986976,-2.16106245892891,0.087005158277328,-24.8383257006504,3.45757424127189e-136,1.87802048627536e-133,"Signifikan","Turun"
"ENSMUSG00000031257",3914.25177514941,-2.67784026555754,0.110930406231073,-24.1398220428353,9.55065666501797e-129,5.02543615392414e-126,"Signifikan","Turun"
"ENSMUSG00000031451",2238.19642354322,-2.44666165713991,0.101528018580886,-24.0983887141526,2.5988567803499e-128,1.3260469838646e-125,"Signifikan","Turun"
"ENSMUSG00000037358",1414.88482805896,-2.67952775894581,0.11237970428161,-23.8435202875355,1.18216986864904e-125,5.85452242597427e-123,"Signifikan","Turun"
"ENSMUSG00000031770",15582.2760553257,4.09606341637807,0.174262000278225,23.5052014199213,3.60859863934052e-122,1.73604525397759e-119,"Signifikan","Naik"
"ENSMUSG00000001622",520.491728854122,6.71432559999813,0.29403517905508,22.8351098041244,2.05477541315254e-115,9.61064122407292e-113,"Signifikan","Naik"
"ENSMUSG00000035775",6523.35716981897,1.94487302133942,0.0855910520359651,22.7228544932734,2.66326389758501e-114,1.2120010137172e-111,"Signifikan","Naik"
