"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"ALDH1A2",2919.90021172953,-5.29746600828326,0.110535236004344,-47.9255864444443,0,0,"Signifikan","Turun"
"CHI3L2",11729.3127766779,-4.87743930925175,0.0804959620034553,-60.592347589341,0,0,"Signifikan","Turun"
"CD1B",1979.27547333943,-4.48458851865383,0.105884159444108,-42.3537245060823,0,0,"Signifikan","Turun"
"CD1E",3534.65993019717,-4.42773622349198,0.0843656954744616,-52.4826613304255,0,0,"Signifikan","Turun"
"RLTPR",2084.60710333306,-3.47433010516581,0.0882612262771486,-39.3641721479836,0,0,"Signifikan","Turun"
"MYO1G",4807.76539921862,-2.97905172641104,0.0663485723025957,-44.9000125100581,0,0,"Signifikan","Turun"
"P2RY8",4246.88478213619,-2.95724917654004,0.0722601937563439,-40.9250103384952,0,0,"Signifikan","Turun"
"MYO7B",34231.0880597859,-2.51886552800228,0.0470097427475097,-53.5817764741058,0,0,"Signifikan","Turun"
"ITGA4",7651.31540375944,-2.43895149385348,0.0546449250470442,-44.6327173429879,0,0,"Signifikan","Turun"
"HMGCS1",13286.6470221492,-2.36064652634273,0.060062439506249,-39.3032075578137,0,0,"Signifikan","Turun"
"LCK",10327.4404717353,-2.34625390591257,0.052652478898398,-44.5611290294626,0,0,"Signifikan","Turun"
"CD3E",6877.61356762446,-2.27587089800163,0.0545794185408646,-41.6983353587332,0,0,"Signifikan","Turun"
"H1F0",7144.7608901843,2.99043073703144,0.0612567386907697,48.8179880441798,0,0,"Signifikan","Naik"
"GYPC",3180.79268604463,-2.5865299198531,0.0714533638824587,-36.1988544599238,6.34590077670896e-287,7.46141947752901e-284,"Signifikan","Turun"
"MYC",3798.51959165511,-2.70862454406649,0.0759780542778,-35.650090934981,2.34863822531297e-278,2.57739558845846e-275,"Signifikan","Turun"
"POLR2A",16598.6923149626,1.69979105899079,0.0477678699723975,35.5844013972782,2.44189028420412e-277,2.51224724801775e-274,"Signifikan","Naik"
"PTPN7",1505.34082739065,-3.39796502873637,0.0966851939776817,-35.1446264825278,1.40427160169535e-270,1.35974793150042e-267,"Signifikan","Turun"
"CD28",1801.81525317197,-3.28883541143819,0.093871711798101,-35.0354259919304,6.50056242480395e-269,5.94476433748321e-266,"Signifikan","Turun"
"IRAK1",2621.92788118526,-2.82038933666061,0.0815166058086044,-34.5989545158775,2.61959343255969e-262,2.26953302596658e-259,"Signifikan","Turun"
"SASH3",2686.98263042621,-2.50343942492787,0.0727572731779249,-34.4080985389022,1.90787558652833e-259,1.57027700149214e-256,"Signifikan","Turun"
"HEXIM1",3309.62123713084,2.03843620468346,0.0611069830922506,33.3584821493497,5.48818155926232e-244,4.30195031652462e-241,"Signifikan","Naik"
"PITPNM2",1771.03343403104,-2.99518229784884,0.090322478826973,-33.1609842505162,3.93336972319289e-241,2.94305450061264e-238,"Signifikan","Turun"
"NEAT1",3369.92839076075,2.33404258165337,0.0705862659416886,33.066525768363,9.00368380958399e-240,6.44389735606791e-237,"Signifikan","Naik"
"H1FX",12610.00344894,1.76055487912506,0.0533701374648842,32.9876399565852,1.22166663722228e-238,8.37910604804833e-236,"Signifikan","Naik"
"CD5",1432.90342863826,-3.54929039215697,0.108199129329182,-32.8033174958249,5.28046628600858e-236,3.47687022135949e-233,"Signifikan","Turun"
"BCAT1",1366.1561354177,-5.88835803468528,0.181076849105472,-32.5185580805832,5.8292364210164e-232,3.6905792587058e-229,"Signifikan","Turun"
"CIRBP",4536.80792856947,1.7702158871093,0.0556993409735834,31.7816307368675,1.16138352543564e-221,7.08056822673931e-219,"Signifikan","Naik"
"APBB1IP",2719.45481435263,-2.25755727245968,0.0714125062933039,-31.6129119343254,2.45390284086635e-219,1.44263195226789e-216,"Signifikan","Turun"
"MTMR2",1168.80644464458,-3.9143104877583,0.124975162520833,-31.3207073213912,2.43842864392911e-215,1.38410254854197e-212,"Signifikan","Turun"
"SH2D1A",2608.72850051596,-2.21821246797936,0.0713526628264372,-31.0880124176316,3.49780627851531e-212,1.91924630502135e-209,"Signifikan","Turun"
"ARHGEF6",2648.18008273713,-2.12016507027214,0.0684191129558423,-30.9879064296039,7.84483311596283e-211,4.16560638457626e-208,"Signifikan","Turun"
"H3F3B",14947.3807904999,1.39622577799861,0.0460420549477243,30.3250100279814,5.36675566424542e-202,2.76069265591074e-199,"Signifikan","Naik"
"ADI1",2012.77699228571,2.21828557056695,0.0736908459303701,30.1025933758854,4.48109003052317e-199,2.23524918158915e-196,"Signifikan","Naik"
"ITGAL",2190.99359688784,-2.40805344774564,0.0806340509155819,-29.8639770717547,5.78086022317413e-196,2.79878647451969e-193,"Signifikan","Turun"
"IFI16",5154.76386079953,-1.6670751333176,0.0559243115787123,-29.8094886867088,2.9433398340229e-195,1.38429477165289e-192,"Signifikan","Turun"
"CD3G",3223.9895428408,-1.89691083736177,0.0638647778365464,-29.7019875684319,7.23796174907715e-194,3.30955800976553e-191,"Signifikan","Turun"
"CD3D",5491.64390892454,-1.66706471389557,0.0564993377344984,-29.5059160114308,2.41738271442735e-191,1.07547396924834e-188,"Signifikan","Turun"
"PSAT1",4277.21580501932,-1.98446812666968,0.0678212012611216,-29.2602916163219,3.32170240356941e-188,1.43890903329358e-185,"Signifikan","Turun"
"SPTBN2",1050.23227759944,-3.08444664053566,0.10616304815304,-29.0538628477326,1.37526308758043e-185,5.80466812427218e-183,"Signifikan","Turun"
"CLEC11A",1419.56837429584,-2.64811972058318,0.091331280588499,-28.9946632032295,7.68219988577667e-185,3.16141730799424e-182,"Signifikan","Turun"
"TPM4",8112.00521330437,-1.45773614313549,0.050300709981485,-28.9804287786806,1.16117425756257e-184,4.66197303749695e-182,"Signifikan","Turun"
"ITK",1151.1680661963,-3.73064017487979,0.129365793158306,-28.8379183074661,7.1823348010522e-183,2.8149622180981e-180,"Signifikan","Turun"
"MYB",6237.03602477279,-1.61546753173187,0.0564946057994791,-28.5950757398995,7.73606621113624e-180,2.96147409073288e-177,"Signifikan","Turun"
"ERAP2",1184.19492803912,-2.95867239347179,0.103559248278402,-28.569851970322,1.5922467195455e-179,5.95681210237238e-177,"Signifikan","Turun"
"CHD3",8183.48916571907,-1.4595619963873,0.0516425069860852,-28.2628029034409,9.90833650805241e-176,3.62446949464557e-173,"Signifikan","Turun"
"ZAP70",9383.21764690218,-1.59478751600198,0.0566830336974377,-28.1351828223349,3.63816137315038e-174,1.3019081383354e-171,"Signifikan","Turun"
"FASN",11217.9451773425,-1.39804024103074,0.0497894612887429,-28.0790393156317,1.76635408295695e-173,6.1863733105435e-171,"Signifikan","Turun"
"TMC8",979.562926501527,-3.09420268726325,0.110424511083395,-28.0209770177424,9.02167703399403e-173,3.09387136784533e-170,"Signifikan","Turun"
"UNC13D",1220.73975043707,-2.86666968992162,0.102724620931213,-27.9063545227507,2.23404481822242e-171,7.50502280668556e-169,"Signifikan","Turun"
"CORO1A",11994.4929716918,-1.38696654893941,0.0497939078479409,-27.8541413775936,9.5964877575856e-171,3.15935569955233e-168,"Signifikan","Turun"
"AC093323.3",1552.50780806287,2.27041267118189,0.081536172159104,27.8454655284965,1.22231120480448e-170,3.94518916515424e-168,"Signifikan","Naik"
"CD79A",724.322961063884,-4.00129726170528,0.145636117332984,-27.4746219205821,3.53009967331788e-166,1.11748020620165e-163,"Signifikan","Turun"
"SELL",1083.39814841197,-3.16860666784035,0.115395952765988,-27.4585597838598,5.49084133384767e-166,1.70537243766918e-163,"Signifikan","Turun"
"LAT",1503.26299697686,-2.4975442102058,0.0920298125146439,-27.1384254945471,3.46814790543942e-162,1.05720708650812e-159,"Signifikan","Turun"
"SLC38A1",5583.73813232359,-1.46245273139475,0.0539411943336091,-27.1119827705324,7.11252419402445e-162,2.12871383196066e-159,"Signifikan","Turun"
"GRAP2",896.479127637558,-5.34915223604048,0.199076199561706,-26.8698731833206,4.94219710056613e-159,1.45274118700748e-156,"Signifikan","Turun"
"CERKL",1351.27602358294,-2.39953684261654,0.0894506346571684,-26.8252634742401,1.63975054396416e-158,4.73542696564809e-156,"Signifikan","Turun"
"GIMAP6",920.98099224736,-3.25153918498138,0.121916891367124,-26.6701287124369,1.0456672972376e-156,2.96771196203935e-154,"Signifikan","Turun"
"CALM1",4882.91898972094,1.48197845754836,0.0557246782856188,26.5946525514679,7.82709874811773e-156,2.18376055072485e-153,"Signifikan","Naik"
"FMNL1",1830.34861904508,-2.38783726520035,0.0902192354461328,-26.4670527675448,2.32227827321926e-154,6.37117044257704e-152,"Signifikan","Turun"
"ASS1",1065.43040861465,-3.3786138970356,0.128665922698105,-26.2588090629327,5.66988883627637e-152,1.53003344481878e-149,"Signifikan","Turun"
"ITGB2",2623.18644502847,-2.01771458938677,0.0768616102017101,-26.2512661924675,6.9136265371543e-152,1.83556784561447e-149,"Signifikan","Turun"
"ARHGAP15",1675.3876955716,-2.17189604115067,0.0833479683342252,-26.0581761566326,1.08688554305899e-149,2.83987665464983e-147,"Signifikan","Turun"
"IQGAP2",1818.55949735868,-2.20945065858531,0.0848742704399047,-26.0320430106049,2.14890283369367e-149,5.52704524147368e-147,"Signifikan","Turun"
"ZNF689",874.836286631223,-2.95669878254215,0.114132695260189,-25.9058000496855,5.7294117401075e-148,1.45095148698323e-145,"Signifikan","Turun"
"IKZF1",4520.74196452191,-1.45291103876455,0.0562581869444176,-25.8257707487091,4.55458007852236e-147,1.13595367685692e-144,"Signifikan","Turun"
"RASSF5",2379.74799385103,-1.95374273630277,0.0757322677542484,-25.7980223521456,9.33194909638002e-147,2.29273453844047e-144,"Signifikan","Turun"
"SLA",1334.39832998441,-2.8671516716468,0.111652344162101,-25.6792787752325,1.99206694374396e-145,4.82226675896608e-143,"Signifikan","Turun"
"CBS",972.516416563327,-2.72181872323458,0.105996948555094,-25.6782743308866,2.0441962180054e-145,4.8767411513894e-143,"Signifikan","Turun"
"ARRDC3",847.693750157982,2.63343389144766,0.103524645328092,25.437748500386,9.6463426960119e-143,2.26840638741503e-140,"Signifikan","Naik"
"C6orf223",1715.40186998862,-2.49671230525448,0.0984543480857987,-25.359086254664,7.13475497786701e-142,1.65415777029111e-139,"Signifikan","Turun"
"NDST3",603.19163635821,-4.09690613550892,0.163107788130454,-25.1177836599206,3.17991248284164e-139,7.2700749138967e-137,"Signifikan","Turun"
"PTPN6",1553.44273028786,-2.25304304605867,0.0897442756686589,-25.1051449161731,4.36986781117301e-139,9.85375260818068e-137,"Signifikan","Turun"
"ACTG2",1044.81922512486,-2.65525463730873,0.105773899076045,-25.1031176925769,4.59838403557127e-139,1.02289188661539e-136,"Signifikan","Turun"
"CD247",2350.65995236216,-1.79375891686865,0.0720090236060385,-24.9101963482008,5.76925529782557e-137,1.26623615276676e-134,"Signifikan","Turun"
"FYB",4123.06634768163,-1.65031444148836,0.0664561041070822,-24.8331505986142,3.93260650508716e-136,8.51771522108418e-134,"Signifikan","Turun"
"PYCR1",817.404742219935,-3.21624295616076,0.129561489721909,-24.8240658784034,4.92945343926301e-136,1.0538147151131e-133,"Signifikan","Turun"
"APOL6",898.33680637464,-3.21680236298195,0.129604573699375,-24.8201299627242,5.4362194023683e-136,1.14725137926134e-133,"Signifikan","Turun"
"MAP4K1",927.477421988713,-2.6271690841621,0.106151423467581,-24.7492591087528,3.15775539747747e-135,6.579722987073e-133,"Signifikan","Turun"
"DNPH1",1065.01243847785,-2.57972234372811,0.104292982807443,-24.7353395625004,4.45855086816772e-135,9.17402573011361e-133,"Signifikan","Turun"
"C10orf107",524.776312030442,-4.9609909656322,0.20089083752279,-24.6949588483318,1.21152829608539e-134,2.46209472615576e-132,"Signifikan","Turun"
"SESN3",2053.42365711839,1.67380540915166,0.068845324412578,24.3125502484502,1.44418275199477e-130,2.89910881470559e-128,"Signifikan","Naik"
"SPON2",1221.26050832953,-2.95106879645667,0.121610707182445,-24.2665211380555,4.42583057024867e-130,8.77754180926064e-128,"Signifikan","Turun"
"LAMP3",1139.56677083367,-2.30210933586617,0.0967638310217028,-23.79101066544,4.1378826250474e-125,8.10877212986967e-123,"Signifikan","Turun"
"SELPLG",1070.3146421388,-2.34174770607462,0.0987916478959985,-23.703903679589,3.28650175012902e-124,6.36460062457339e-122,"Signifikan","Turun"
"PHF19",1631.45042308794,-2.09884832517443,0.0886115373218377,-23.6859486767666,5.03302527381173e-124,9.63356151537383e-122,"Signifikan","Turun"
"OAS3",558.958481423694,-3.75627451130964,0.159064511705482,-23.6147866738788,2.71676530074937e-123,5.14030731214199e-121,"Signifikan","Turun"
"ARHGEF1",3982.54932608029,-1.47038107211603,0.0625229390253832,-23.5174656699852,2.70323951325599e-122,5.05659382133032e-120,"Signifikan","Turun"
"AEBP1",2824.70462670603,-1.85211793081848,0.0790127705132963,-23.4407415255336,1.64301987049704e-121,3.03884832452267e-119,"Signifikan","Turun"
"MTHFD1L",1521.1043788131,-1.94393389779621,0.0829592736162538,-23.4323881232169,1.99903812589171e-121,3.65624073225594e-119,"Signifikan","Turun"
"AIF1",1215.69493222799,-2.16102873706558,0.0923097549281494,-23.410621539919,3.33141869491997e-121,6.02620693814039e-119,"Signifikan","Turun"
"SH3TC1",861.166926322941,-2.46262217727064,0.105239199518592,-23.4002366849587,4.24992919753231e-121,7.60413962180211e-119,"Signifikan","Turun"
"MFNG",1519.4821693944,-1.91633290428517,0.082064532324176,-23.3515362850685,1.32950681121014e-120,2.35322705584195e-118,"Signifikan","Turun"
"NME4",2050.68937498221,-1.66715836585615,0.0716543080641813,-23.2666871106042,9.64262946549158e-120,1.68858854927082e-117,"Signifikan","Turun"
"SYK",1451.75438312557,-2.01446362199075,0.0869606267294969,-23.1652380824832,1.02082817116852e-118,1.76882658164264e-116,"Signifikan","Turun"
"PSMB8",1405.73611730778,-1.99636481665701,0.0862111320714066,-23.1566941378692,1.24466668782335e-118,2.1342144112771e-116,"Signifikan","Turun"
"FDFT1",23451.4050869881,-1.11199101931982,0.048080576683649,-23.1276556152037,2.44032807815715e-118,4.14126190665411e-116,"Signifikan","Turun"
"CD6",656.49022493135,-3.48709810646582,0.151354295939041,-23.039307109395,1.88278413115103e-117,3.1625009778446e-115,"Signifikan","Turun"
"UBE2J1",1957.29624456741,-1.67397170538202,0.0728015470722213,-22.9936281947606,5.39836462181792e-117,8.9760080848227e-115,"Signifikan","Turun"
"FERMT3",2102.46350046725,-1.75030283663155,0.0761227711622399,-22.9931571053968,5.45726863099543e-117,8.98320989348157e-115,"Signifikan","Turun"
"CLPP",2400.47241928804,-1.5511713498323,0.0676946527230066,-22.914237497892,3.35108906054641e-116,5.46161158669846e-114,"Signifikan","Turun"
"SPTAN1",12722.6641130253,1.14240950164585,0.0500312923296735,22.8338995146901,2.11246542864307e-115,3.4091464138131e-113,"Signifikan","Naik"
"UBE2E1",2056.55770783634,-1.84160730466189,0.0807137475668645,-22.8165258109999,3.14298336469153e-115,5.02297564720265e-113,"Signifikan","Turun"
"GAPDH",90258.9317631926,1.24610096340848,0.0548755159395155,22.7077767210781,3.75357972062442e-114,5.9411226712691e-112,"Signifikan","Naik"
