"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"DNAJB1",5797.76280057902,2.21021289267884,0.0565471976009569,39.0861614093752,0,0,"Signifikan","Naik"
"HMGCS1",13286.6470221492,2.02042205570225,0.0543001772111627,37.2083878814101,4.99367564005755e-303,3.34850920044059e-299,"Signifikan","Naik"
"MSMO1",5665.43798120356,1.86890728680464,0.065432115272621,28.5625381208891,1.96271811789219e-179,8.77400422635071e-176,"Signifikan","Naik"
"HMGCR",7581.84657203893,1.39360879363101,0.053471966318877,26.0624190500177,9.72955344453812e-150,3.26207603111752e-146,"Signifikan","Naik"
"HSPA1B",467.150867355068,3.95088682779323,0.163708321988131,24.1336957083933,1.1075469676276e-128,2.97066247657075e-125,"Signifikan","Naik"
"LDLR",3656.12758432975,1.3401099725804,0.058439749057288,22.9314806137634,2.25528078877567e-116,5.04092844304508e-113,"Signifikan","Naik"
"SQLE",6791.82691302015,1.3351967071734,0.0593901991416964,22.4817684814932,6.25955140710508e-112,1.19924062743837e-108,"Signifikan","Naik"
"DHCR7",9037.5935193806,1.27332066722588,0.0576894051374247,22.0720020286679,5.87325947021109e-108,9.84578534437512e-105,"Signifikan","Naik"
"FDFT1",23451.4050869881,1.02772644142606,0.0471885151728882,21.779164647599,3.65679121340556e-105,5.44902521810911e-102,"Signifikan","Naik"
"TMEM97",3992.57610969057,1.40023718508189,0.0644910840716476,21.7121049403709,1.57669009652e-104,2.11449908844297e-101,"Signifikan","Naik"
"JUN",767.447393636825,2.39396439103675,0.114484028601415,20.9109027720497,4.26094344560793e-97,5.19486477718618e-94,"Signifikan","Naik"
"FASN",11217.9451773425,0.98344768269175,0.0475591303303283,20.6784202289042,5.41864136025154e-95,6.05578327352778e-92,"Tidak Signfikan","Tidak Signifikan"
"ACLY",15130.2017062141,1.01347947506576,0.0538750771918804,18.8116570386744,6.06132153837029e-79,6.25295255008338e-76,"Signifikan","Naik"
"MVD",3887.50605917156,1.18205382969463,0.0630181104614002,18.7573670654353,1.68544126701248e-78,1.61453234513603e-75,"Signifikan","Naik"
"INSIG1",25379.7119178898,0.889137243883158,0.0478664726786408,18.5753658902866,5.08572739083739e-77,4.54697933590135e-74,"Tidak Signfikan","Tidak Signifikan"
"SCD",31952.8526227084,0.818963322598912,0.0487130587954372,16.8119872340191,1.99374084958948e-63,1.67112865836528e-60,"Tidak Signfikan","Tidak Signifikan"
"CDKN2C",3314.6384440499,-1.02645681407451,0.062392497004391,-16.4516065770259,8.16727639380803e-61,6.44302021866821e-58,"Signifikan","Turun"
"IDI1",7126.14091438063,1.06078191659252,0.0647632790040899,16.3793732019889,2.68495746625731e-60,2.00044247666538e-57,"Signifikan","Naik"
"C14orf1",1828.02534444307,1.17751028557479,0.0754653285058274,15.6033281625993,6.90961287302874e-55,4.87709569685202e-52,"Signifikan","Naik"
"EIF5",4780.58018403487,-0.921499290252773,0.0604305266115191,-15.2489038557728,1.67420128478338e-52,1.1226356715115e-49,"Tidak Signfikan","Tidak Signifikan"
"SYK",1451.75438312557,-1.2476849165262,0.0831435752558272,-15.0063900029215,6.66792962713903e-51,4.25826686807436e-48,"Signifikan","Turun"
"TNFAIP3",1550.05583333985,1.09103153025402,0.0746994355497613,14.6056194698717,2.58620801547693e-48,1.57652889525278e-45,"Signifikan","Naik"
"HNRNPM",5778.76117419812,-0.828627206744443,0.0571061469932153,-14.5102979341767,1.04266712230906e-47,6.07965599012468e-45,"Tidak Signfikan","Tidak Signifikan"
"SC5D",1477.11112545655,1.16502902528765,0.0804524623960425,14.4809616833426,1.59844995788437e-47,8.93200516049469e-45,"Signifikan","Naik"
"EBP",2801.79999086635,0.978789608809478,0.0676946665990721,14.4588880924172,2.20328368514031e-47,1.18192950005667e-44,"Tidak Signfikan","Tidak Signifikan"
"DHCR24",6297.54351452817,0.808015460756328,0.0566254074976488,14.2694860216216,3.39068371484733e-46,1.74894074230067e-43,"Tidak Signfikan","Tidak Signifikan"
"STARD4",2689.15671596117,0.998583995989638,0.0700634883592084,14.2525589201325,4.32151015860551e-46,2.14651010137254e-43,"Tidak Signfikan","Tidak Signifikan"
"JAKMIP1",1597.90195219063,-1.06871456139952,0.0752258377556365,-14.2067485492302,8.31997251581662e-46,3.9849696932006e-43,"Signifikan","Turun"
"ACSS2",598.955246846199,1.73997538400542,0.122944698430252,14.1525043879182,1.80222888519794e-45,8.33437640668608e-43,"Signifikan","Naik"
"SPATC1L",844.883784035214,1.27836241988041,0.0929556284998971,13.7523939164354,4.92717714762325e-43,2.20261242422585e-40,"Signifikan","Naik"
"CLCN6",1399.54915795924,1.0341040273119,0.0754873012058278,13.6990462076828,1.02866655309443e-42,4.45014423985466e-40,"Signifikan","Naik"
"ACAT2",3083.90539327148,0.959039265422337,0.070686843584017,13.5674365524957,6.24687924832605e-42,2.61802804997815e-39,"Tidak Signfikan","Tidak Signifikan"
"LSS",6850.00265185174,0.812911248795311,0.0599845767787948,13.5520044059506,7.70957948075873e-42,3.13312637625622e-39,"Tidak Signfikan","Tidak Signifikan"
"HSP90B1",8007.30151873895,0.696645974331024,0.0515418071769729,13.5161340373463,1.25605116126155e-41,4.95438297755255e-39,"Tidak Signfikan","Tidak Signifikan"
